Open Time,Open,High,Low,Close,Volume,Close time,QAV,No. of trades,Taker buy base,Taker buy quote,Ignore,,,
1.66E+12,23186.32,23200,23103.03,23172.41,2760.40553,1.66E+12,63899005.99,106179,1314.16908,30421881.87,0,1659816000,8:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23174.35,23207.65,23168,23178.84,1760.98895,1.66E+12,40835151.97,76041,956.80385,22188113.08,0,1659819600,9:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23178.84,23220,23147.45,23173.63,3054.21303,1.66E+12,70775163.57,110931,1494.07736,34623935.55,0,1659823200,10:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23173.63,23174.97,22909.52,22954.21,7154.62984,1.66E+12,164647786.7,210223,3319.49473,76389251.02,0,1659826800,11:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,22954.21,23051.92,22844.62,22889.24,5343.43342,1.66E+12,122670270.4,196050,2628.52436,60357676.64,0,1659830400,12:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22889.25,22938,22854.26,22911.34,4117.69791,1.66E+12,94304172.49,162025,2029.60862,46485063.33,0,1659834000,1:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22910.32,23007.75,22903.6,22996.12,2859.50901,1.66E+12,65636301.31,134004,1489.82419,34196979.47,0,1659837600,2:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22996.12,23042.31,22968.65,22990.1,3649.50686,1.66E+12,83932140.51,140171,1792.63372,41228126.71,0,1659841200,3:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22990.1,23025,22938.47,22950.57,3507.57328,1.66E+12,80626013.62,136220,1709.15571,39288364.83,0,1659844800,4:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22949.17,22998.93,22946.89,22969.39,2150.49454,1.66E+12,49408501.2,110189,1073.48172,24664250.77,0,1659848400,5:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22969.39,23020.44,22965.45,23005.76,2225.20884,1.66E+12,51175902.67,107617,1143.3224,26295052.53,0,1659852000,6:00:00 am,"Sunday, 7 August 2022"
1.66E+12,23005.2,23029.62,22990.49,23015.95,2399.76585,1.66E+12,55216909.11,111478,1246.31446,28677708.19,0,1659855600,7:00:00 am,"Sunday, 7 August 2022"
1.66E+12,23014.6,23025.95,22902.16,22924.9,3747.39457,1.66E+12,86072767.19,143744,1749.66055,40188276.76,0,1659859200,8:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22924.9,22980.27,22890.52,22977.27,3571.7914,1.66E+12,81939910.6,143407,1841.69769,42252483.93,0,1659862800,9:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22978.05,23013.82,22957.47,22999.48,2453.50635,1.66E+12,56409401.17,117961,1360.56616,31282366.53,0,1659866400,10:00:00 am,"Sunday, 7 August 2022"
1.66E+12,22998.69,23055,22961.99,23038.48,3331.44675,1.66E+12,76639365.3,145042,1740.29214,40036659.07,0,1659870000,11:00:00 am,"Sunday, 7 August 2022"
1.66E+12,23038.48,23151,23035,23115.02,6003.94433,1.66E+12,138647819,220468,2983.70721,68906182.13,0,1659873600,12:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23115.02,23184.21,23115.02,23152.76,4248.28127,1.66E+12,98338718.05,179446,2177.03047,50393875.15,0,1659877200,1:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23153.02,23172.84,23055.94,23119.59,3971.76998,1.66E+12,91830541.29,168080,1966.05166,45458081.69,0,1659880800,2:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23118.57,23123.63,23010.84,23023.14,3743.67044,1.66E+12,86341140.71,155220,1795.09739,41401743.65,0,1659884400,3:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23021.97,23137.29,22994,23093.7,3781.37734,1.66E+12,87260380.32,162994,1958.75859,45206668.99,0,1659888000,4:00:00 pm,"Sunday, 7 August 2022"
